age_group,sex,q25,med,q75,n
16-24,M,4540.0,5139.0,5896.0,25253
16-24,W,5099.0,5693.0,6463.0,19644
25-29,M,4544.0,5104.0,5831.0,51906
25-29,W,5021.0,5589.0,6354.0,33105
30-34,W,5036.0,5610.0,6410.0,33609
30-34,M,4571.0,5123.0,5864.0,67206
35-39,W,5090.0,5682.0,6458.0,26913
35-39,M,4649.0,5208.0,5940.0,58132
40-44,W,5127.0,5706.0,6504.0,19556
40-44,M,4741.0,5317.0,6070.0,40482
45-49,M,4875.0,5447.0,6188.0,23055
45-49,W,5205.0,5830.0,6649.0,11425
50-54,M,5018.0,5614.0,6384.0,12835
50-54,W,5369.0,5991.0,6799.0,5897
55-59,W,5556.0,6228.0,7140.0,2507
55-59,M,5235.0,5849.0,6699.0,6200
60-64,W,5552.0,6354.0,7245.0,1117
60-64,M,5309.0,5953.0,6820.0,2859
65-69,M,5595.0,6456.0,7478.0,799
65-69,W,6168.0,6975.5,7994.0,268
70-74,M,6415.0,7323.0,8223.0,199
