season,division_canonical,sex,med,n
1,DOUBLES,W,5259.0,313
1,OPEN,M,5557.0,1821
1,PRO,M,5342.5,632
1,OPEN,W,5680.0,855
1,DOUBLES,M,4667.0,395
2,OPEN,M,5547.0,2373
2,PRO,W,5335.0,271
2,PRO,M,5300.5,838
2,DOUBLES,W,5218.0,679
2,OPEN,W,5735.0,1341
2,DOUBLES,M,4636.0,969
3,OPEN,M,5728.0,201
4,PRO,M,4937.0,1885
4,DOUBLES,M,4435.0,2125
4,OPEN,W,5551.0,2402
4,DOUBLES,W,5049.0,1716
4,OPEN,M,5269.0,5042
4,PRO,W,5158.0,729
5,DOUBLES,W,5019.0,5563
5,OPEN,W,5456.0,6434
5,PRO,W,5059.0,1319
5,DOUBLES,M,4425.0,6627
5,OPEN,M,5217.0,14411
5,PRO,M,4800.0,3115
6,DOUBLES,W,5142.0,14388
6,OPEN,W,5505.0,16096
6,PRO,W,5085.0,2868
6,OPEN,M,5241.0,34653
6,PRO,M,4874.5,6932
6,DOUBLES,M,4481.0,15470
7,DOUBLES,M,4464.0,37667
7,OPEN,W,5592.0,36268
7,OPEN,M,5158.0,73149
7,DOUBLES,W,5156.0,37497
7,PRO,W,5135.0,5642
7,PRO,M,4851.0,13226
8,PRO,M,4855.0,31112
8,OPEN,W,5780.0,89445
8,DOUBLES,M,4565.0,100843
8,OPEN,M,5269.0,155345
8,DOUBLES,W,5293.0,102170
8,PRO,W,5205.0,14574
9,DOUBLES,W,5830.0,1591
9,OPEN,W,6035.0,1237
9,OPEN,M,5802.0,2088
9,DOUBLES,M,5235.0,1457
