name,nationality,season,year,city,division_canonical,finish_seconds,finish
"Roncevic, Alexander",AUT,6,2024,Köln,OPEN,3038.0,50:38
"Botterill, Charlie",GBR,8,2026,EMEA London Olympia,OPEN,3077.0,51:17
"Dufour, Xavier",FRA,8,2026,EMEA London Olympia,OPEN,3097.0,51:37
"Eisenlauer, Fabian",GER,8,2026,Berlin,OPEN,3100.0,51:40
"Wenisch, Tim",GER,8,2026,Istanbul,OPEN,3132.0,52:12
"Garel, Quentin",FRA,8,2026,EMEA London Olympia,OPEN,3151.0,52:31
"martins, Dimitry",FRA,8,2026,EMEA London Olympia,OPEN,3155.0,52:35
"Kreutzer, Julian",AUT,8,2026,EMEA London Olympia,OPEN,3158.0,52:38
"ter Burg, Cem",NED,8,2026,EMEA London Olympia,OPEN,3212.0,53:32
"Craig, Sam",GBR,8,2026,EMEA London Olympia,OPEN,3213.0,53:33
"Scott, Dylan",USA,8,2026,Phoenix,PRO,3217.0,53:37
"Wamser, Philipp",GER,7,2025,Vienna,OPEN,3223.0,53:43
"Van Overdam, Luc",NED,8,2026,Mechelen,OPEN,3223.0,53:43
"Schwarzkopf, Dieter",GER,8,2026,Amsterdam,OPEN,3223.0,53:43
"Gianni, Gaetan",FRA,8,2026,Barcelona,OPEN,3224.0,53:44
"Sánchez Santos, Pablo",ESP,7,2025,Vienna,OPEN,3225.0,53:45
"bianchi, Eugenio",ITA,8,2026,EMEA London Olympia,OPEN,3234.0,53:54
"Lousa, Tiago",POR,7,2025,Vienna,OPEN,3235.0,53:55
"Iriondo, Jon",ESP,8,2026,EMEA London Olympia,OPEN,3235.0,53:55
"Pereira, Grégory",FRA,8,2026,Nice,OPEN,3237.0,53:57
"Kuszmider, Kamil",POL,7,2025,Warsaw,OPEN,3238.0,53:58
"Mcintyre, Hunter",USA,8,2026,Miami,PRO,3239.0,53:59
"Phillips, James",GBR,8,2026,EMEA London Olympia,OPEN,3242.0,54:02
"Kelly, James",GBR,6,2024,Köln,PRO,3243.0,54:03
"Dornik, Domen",SLO,7,2025,Rimini,OPEN,3247.0,54:07
