segment,sex,best_plausible,seconds
1km SkiErg,M,3:39,219.0
1km SkiErg,W,4:09,249.0
50m Sled Push,M,1:17,77.0
50m Sled Push,W,1:22,82.0
50m Sled Pull,M,2:24,144.0
50m Sled Pull,W,2:59,179.0
80m Burpee Broad Jump,M,2:07,127.0
80m Burpee Broad Jump,W,2:36,156.0
1km Row,M,3:52,232.0
1km Row,W,4:20,260.0
200m Farmers Carry,M,1:06,66.0
200m Farmers Carry,W,1:14,74.0
100m Sandbag Lunges,M,2:09,129.0
100m Sandbag Lunges,W,2:04,124.0
Wall Balls,M,3:17,197.0
Wall Balls,W,2:33,153.0
Running total,M,25:35,1535.0
Running total,W,28:21,1701.0
Best run lap,M,2:43,163.0
Best run lap,W,3:00,180.0
